Result,Parent 1, Parent 2
Almiraj,Any Beast,Any Dragon
Antbear,Saccer,Any Dragon
Arrowdog,Any Beast,PutrePup
Beastnite,CatMage,Any Devil
Beastnite,MadGopher,Dumbira
Beastnite,Any Beast,EvilArmor
Beavern,Any Beast,Any Water
BigEye,Any Beast,Drygon
BigEye,Any Beast,EyeBall
Catfly,Any Beast,Any Bird
Catmage,CatFly,1EyeClown
Catmage,CatFly,CatMage
Catmage,CatFly,EvilWand
Catmage,CatFly,MimeSlime
Catmage,CatFly,Reaper
Catmage,CatFly,Sickler
Catmage,CatFly,TreeBoy
Darkhorn,Any Beast,Any Boss
Dumbira,SuperTen,BeastNite
Dumbira,SuperTen,Bubblemon
Dumbira,NoctoKing,Gigantes
Dumbira,SuperTen,Lizardman
Dumbira,SuperTen,MerTiger
Dumbira,SuperTen,Orc
Dumbira,SuperTen,SabreMan
Dumbira,SuperTen,Walrusman
Fairyrat,Any Beast,LizardFly
Goategon,Any Beast,DrakSlime
Goategon,Any Beast,LizardMan
Gorago,DarkHorn,Any Boss
Gorago,DarkHorn,Orochi
Grizzly,Any Beast,Any Devil
Grizzly,Any Beast,Golem
Grizzly,Any Beast,IceMan
Grizzly,Any Beast,LavaMan
Grizzly,Any Beast,MetalDrak
Grizzly,Any Beast,Roboster
Grizzly,Any Beast,StoneMan
Gulpbeast,Grizzly,Any Devil
Gulpbeast,BigEye,Any Dragon
Gulpbeast,Dumbira,Any Dragon
Gulpbeast,Grizzly,Any Dragon
Gulpbeast,Trumpeter,Any Dragon
Gulpbeast,Yeti,Any Dragon
Gulpbeast,Tonguella,DeadNoble
Gulpbeast,Yeti,DeadNoble
Gulpbeast,Tonguella,Digster
Gulpbeast,Trumpeter,Digster
Gulpbeast,Goategon,Golem
Gulpbeast,Trumpeter,Golem
Gulpbeast,Goategon,IceMan
Gulpbeast,Trumpeter,IceMan
Gulpbeast,Goategon,LavaMan
Gulpbeast,Trumpeter,LavaMan
Gulpbeast,Dumbira,MetalDrak
Gulpbeast,IronTurt,MetalDrak
Gulpbeast,Goategon,Roboster
Gulpbeast,Trumpeter,Roboster
Gulpbeast,Tonguella,Skeletor
Gulpbeast,WildApe,Skeletor
Gulpbeast,Grizzly,Skullgon
Gulpbeast,Tonguella,Skullgon
Gulpbeast,Goategon,StoneMan
Gulpbeast,Trumpeter,StoneMan
Gulpbeast,Tonguella,WhiteKing
Gulpbeast,Unicorn,WhiteKing
Hammerman,Any Beast,Stubsuck
Ironturt,Any Beast,Tortragon
Kingleo,Trumpeter,Balzak
Kingleo,Trumpeter,BossTroll
Kingleo,Trumpeter,GoldGolem
Kingleo,Trumpeter,MetalDrak
Kingleo,Trumpeter,Trumpeter
Madcat,Any Beast,Dragon
Madcat,CatMage,Goategon
Madcat,CatMage,Unicorn
Madgopher,Any Beast,SabreMan
Mommonja,Any Beast,DuckKite
Noctoking,ArrowDog,Dracky
Noctoking,ArrowDog,Shadow
Pillowrat,Any Beast,Any Plant
Saccer,Any Beast,Any Bug
Skullroo,Any Beast,Any Zombie
Superten,Dumbira,Any Slime
Superten,GulpBeast,CopyCat
Superten,GulpBeast,Demonite
Superten,GulpBeast,FaceTree
Superten,GulpBeast,FangSlime
Superten,GulpBeast,FunkyBird
Superten,GulpBeast,Gremlin
Superten,GulpBeast,JewelBag
Superten,GulpBeast,Lipsy
Superten,GulpBeast,MadDragon
Superten,GulpBeast,MadPlant
Superten,GulpBeast,Mimic
Superten,Any Beast,Mudron
Superten,Tonguella,TreeSlime
Tonguella,Any Beast,Any Slime
Trumpeter,SuperTen,Any Dragon
Trumpeter,GulpBeast,Balzak
Trumpeter,GulpBeast,Golem
Trumpeter,GulpBeast,IceMan
Trumpeter,Tonguella,LandOwl
Trumpeter,GulpBeast,LavaMan
Trumpeter,Grizzly,MadCondor
Trumpeter,GulpBeast,MetalDrak
Trumpeter,GulpBeast,Roboster
Trumpeter,GulpBeast,StoneMan
Trumpeter,GulpBeast,WhipBird
Trumpeter,WildApe,WildApe
Trumpeter,Yeti,ZapBird
Unicorn,Goategon,Any Slime
Unicorn,Grizzly,Any Slime
Unicorn,GulpBeast,Any Slime
Unicorn,Tonguella,Any Slime
Unicorn,Trumpeter,Any Slime
Unicorn,WildApe,Any Slime
Unicorn,Yeti,Any Slime
Unicorn,Any Beast,FangSlime
Wildape,Almiraj,Any Dragon
Wildape,Any Beast,MadPecker
Windbeast,CatFly,Any Bird
Windbeast,Any Beast,Any Material
Yeti,MadCat,BattleRex
Yeti,Dumbira,Blizzardy
Yeti,Goategon,Gasgon
Yeti,MadCat,MadDragon
Yeti,Any Beast,Orc
Yeti,IronTurt,Pteranod
Yeti,MadCat,SkyDragon
Yeti,WildApe,Swordgon
Aquahawk,Any Bird,Any Water
Azurile,RainHawk,Any Boss
Azurile,Shantak,GoldGolem
Bigroost,-----,-----
Blizzardy,Any Bird,SuperTen
Blizzardy,Any Bird,Yeti
Blizzardy,Any Bird,WhiteKing
Blizzardy,Any Bird,Trumpeter
Blizzardy,Any Bird,Skullgon
Blizzardy,Any Bird,Skeletor
Blizzardy,Any Bird,Servant
Blizzardy,Any Bird,Metaly
Blizzardy,Any Bird,Metabble
Blizzardy,Any Bird,IceMan
Blizzardy,Any Bird,Goategon
Blizzardy,Any Bird,DeadNoble
Bullbird,Any Bird,Any Beast
Cragdevil,BigRoost,Any Beast
Cragdevil,Emyu,Any Beast
Cragdevil,MadGoose,Any Beast
Dracky,Picky,Any Slime
Duckkite,Any Bird,Any Bug
Emyu,MadPecker,BigEye
Emyu,MadPecker,DarkEye
Emyu,MadCondor,MadPecker
Emyu,KiteHawk,Any Beast
Florajay,Any Bird,Any Plant
Funkybird,Any Bird,Brushead
Funkybird,Any Bird,DanceVegi
Funkybird,Any Bird,Pyuro
Funkybird,Any Bird,TropicGel
Garudian,Blizzardy,Lionex
Garudian,ZapBird,Lionex
Garudian,Phoenix,Lionex
Garudian,FunkyBird,Jamirus
Kitehawk,DuckKite,Any Material
Kitehawk,Any Bird,Facer
Landowl,BullBird,Any Devil
Landowl,Garudian,Any Slime
Landowl,BullBird,Grizzly
Madcondor,LandOwl,Any Devil
Madcondor,Any Bird,CoilBird
Madcondor,KiteHawk,BigRoost
Madgoose,Wyvern,Any Dragon
Madgoose,CragDevil,MadRaven
Madgoose,CragDevil,DuckKite
Madgoose,Any Bird,Droll
Madgoose,Phoenix,Any Zombie
Madgoose,MadCondor,Any Zombie
Madgoose,LandOwl,Any Zombie
Madpecker,Any Bird,Any Devil
Madraven,Any Bird,Any Zombie
Mistywing,Any Bird,Any Material
Phoenix,Any Bird,ArcDemon
Phoenix,Any Bird,CopyCat
Phoenix,Any Bird,DrakSlime
Phoenix,Any Bird,Gismo
Phoenix,Any Bird,Grizzly
Phoenix,Any Bird,GulpBeast
Phoenix,Any Bird,IronTurt
Phoenix,Any Bird,LavaMan
Picky,Any Bird,Any Slime
Rainhawk,Blizzardy,Vampirus
Rainhawk,Blizzardy,Phoenix
Shantak,WhipBird,GreatDrak
Shantak,WhipBird,Jamirus
Stubbird,Any Bird,RockSlime
Whipbird,Any Bird,Rayburn
Whipbird,ZapBird,StoneMan
Whipbird,Any Bird,SnakeBat
Whipbird,MadGoose,SlimeBorg
Whipbird,LandOwl,RockSlime
Whipbird,Blizzardy,MetalDrak
Whipbird,ZapBird,Merman
Whipbird,ZapBird,Golem
Whipbird,MadCondor,Digster
Wyvern,Any Bird,Any Dragon
